object_id,first_name,last_name,birthplace,affiliation_name,degree_type,subject,institution,graduated_at,created_at_x,updated_at_x,id,relationship_id,person_object_id,relationship_object_id,start_at,end_at,is_past,sequence,title,created_at_y,updated_at_y
p:172120,Richard,Taylor,Melbourne,Night Zookeeper,BA,,Post Grad Diploma in Public relations (Distinction) 2003.,2003-01-01,2013-08-07 06:28:48,2013-08-07 06:28:48,195094.0,195094.0,p:172120,c:157578,2012-02-05,,1.0,5.0,Investor,2013-02-05 16:32:57,2013-04-30 11:36:08
p:175001,Sambhav,Karnawat,Jaipur,Suranas Jewelove,BS,Mechanical Engineering,Indian Institute of Technology Kanpur,2012-01-01,2013-02-23 11:46:38,2013-02-24 08:45:55,198476.0,198476.0,p:175001,c:188911,2012-10-24,,0.0,1.0,Partner,2013-02-23 11:46:38,2013-02-24 08:45:55
p:175215,Adrian,Lloyd,,Episode 1,MS,Chinese Studies,Oxford University,2003-01-01,2013-11-07 15:06:02,2013-11-08 00:20:38,198690.0,198690.0,p:175215,f:10627,2013-01-01,,0.0,1.0,Partner,2013-02-25 09:48:55,2013-03-05 00:27:14
p:175678,Patrick,Walsh,"Portland, OR",Swrve New Media,BS,Computer Science and Electrical Engineering,Oregon State University,1982-01-01,2013-02-27 04:17:34,2013-03-01 01:19:24,199181.0,199181.0,p:175678,c:189472,,,0.0,92530.0,Investor,2013-02-27 04:17:34,2013-03-01 01:19:22
p:177387,Guillermo,DeLeon,,Geeklist,BS,Finance,DePaul,1996-01-01,2013-03-10 06:08:47,2013-03-10 06:08:50,201032.0,201032.0,p:177387,c:78847,2013-02-01,,0.0,2.0,Investor,2013-03-10 06:08:47,2013-03-12 03:08:11
p:177982,Andrew,Smith,Massachusetts,HCC Marketing,BS,Business Marketing,Saint Joseph's College,2005-01-01,2013-03-13 19:14:14,2013-03-13 19:14:17,201684.0,201684.0,p:177982,c:191402,2005-06-01,,0.0,1.0,Partner,2013-03-13 19:14:14,2013-03-13 19:14:17
p:178010,William,McQuillan,,Frontline Ventures,,,"Trinity College, Dublin",2008-01-01,2013-08-07 09:10:04,2013-08-07 09:10:04,201954.0,201954.0,p:178010,f:10740,,,0.0,3.0,Partner,2013-03-14 23:17:17,2013-03-14 23:17:17
p:178395,Jean Marc,Zimmerman,NJ,Zimmerman & Weiser LLP,BS,Electrical Engineering,University of Delaware,1984-01-01,2013-03-17 14:04:26,2013-03-17 14:04:30,202221.0,202221.0,p:178395,c:191803,,,0.0,1.0,Partner,2013-03-17 14:04:26,2013-03-17 14:04:30
p:179863,Matt,Mazzeo,Toronto,Lowercase Capital,BA,Psychology,Harvard University,2005-01-01,2013-04-16 18:16:14,2013-04-16 18:19:14,203837.0,203837.0,p:179863,f:1569,2013-01-01,,0.0,2.0,Partner,2013-03-26 21:19:05,2013-03-26 21:19:09
p:180114,Ratko,Mutavdzic,Croatia,REMIXER.ME,,,,,,,204159.0,204159.0,p:180114,c:193405,2013-03-01,,0.0,1.0,Managing Partner,2013-03-28 22:56:37,2013-03-28 22:56:39
p:181755,Darius,Hatami,New York,Fascet,,,,,,,206021.0,206021.0,p:181755,c:195477,2002-01-01,,0.0,1.0,Managing Partner,2013-04-09 16:32:56,2013-04-09 16:33:03
p:182124,Luiz,Pagnez,,Recrutando.com,BS,Physics,Unicamp,1995-01-01,2013-04-11 22:57:19,2013-04-11 22:57:20,206629.0,206629.0,p:182124,c:195821,2012-08-01,,0.0,4.0,Managing Partner,2013-04-11 14:30:13,2013-04-11 14:30:23
p:183043,Michael,Rubin,,Sands Capital Ventures,Doctor of Medicine,,University of Chicago,,2013-12-09 05:58:46,2013-12-09 05:58:46,209395.0,209395.0,p:183043,f:10940,,,0.0,1.0,Managing Partner,2013-04-16 23:23:54,2013-12-09 06:10:02
p:183302,Terrance,Mullin,"Chicago, Illinois","Terrance J. Mullin, P.A.",MS,Law,"University of Texas, School of Law",1973-01-01,2013-04-17 17:25:53,2013-04-19 05:19:25,210441.0,210441.0,p:183302,c:197537,2002-01-01,,0.0,1.0,Partner,2013-04-17 17:25:53,2013-04-19 05:19:26
p:184374,Lisa,Barrett,USA,TNTP,,,,,,,214754.0,214754.0,p:184374,c:199651,2004-11-01,2011-02-01,1.0,1.0,Partner,2013-04-22 22:41:12,2013-04-23 00:03:22
p:185429,Arnold,Schlesinger,"Beverly Hills, CA",AVG Partners,,,,,,,218727.0,218727.0,p:185429,f:8433,,,0.0,1.0,General Partner,2013-04-26 19:48:46,2013-04-28 05:50:21
p:187086,Hanson,Li,Hong Kong,Zebo,MBA,,Stanford University,2004-01-01,2013-05-02 17:54:16,2013-05-02 22:19:02,224838.0,224838.0,p:187086,c:204797,2001-01-01,,0.0,1.0,Managing Partner,2013-05-02 17:54:16,2013-05-02 22:19:02
p:187722,Nacho,Vilela,Madrid,StartCaps Ventures,,,,,,,227490.0,227490.0,p:187722,f:11171,2011-09-01,,0.0,1.0,Managing Partner,2013-05-05 20:05:36,2013-05-10 14:29:47
p:188037,Jordan,Pack,,Sunder Capital,,Business,The Ohio Sate University,,2013-08-14 00:59:49,2013-08-14 09:49:42,228584.0,228584.0,p:188037,f:11185,,,0.0,2.0,Managing Partner,2013-05-06 21:57:58,2013-07-11 23:19:53
p:188760,Josh,Squires,Texas,MoWerks LLC,BA,History,Texas Lutheran University,2001-01-01,2013-05-09 12:10:33,2013-05-11 20:23:15,231626.0,231626.0,p:188760,c:208192,2009-11-01,,0.0,1.0,Partner,2013-05-09 12:10:33,2013-05-11 20:23:15
p:189513,Georgi,Malchev,,social ninja,,,American University in Bulgaria,2004-01-01,2013-05-13 12:14:42,2013-05-13 12:14:42,235727.0,235727.0,p:189513,c:209828,,,0.0,3.0,Partner,2013-05-13 12:12:11,2013-05-13 12:12:11
p:189574,Savvas,Constantinides,UK,Hi Mum! Said Dad,MS,Digital Signal Processing,Kings College London,2003-01-01,2013-05-13 17:37:46,2013-05-15 12:44:02,235978.0,235978.0,p:189574,c:181066,,,0.0,1.0,Managing Partner,2013-05-13 17:37:46,2013-05-15 12:44:02
p:190546,Steven,Sweat,,"Glotzer & Sweat, LLP",BS,Social Sciences,Florida State University,1992-01-01,2013-05-17 00:53:13,2013-05-17 14:11:38,239395.0,239395.0,p:190546,c:211394,2007-01-01,,1.0,1.0,Partner,2013-05-17 00:53:13,2013-05-24 17:19:42
p:192326,Michael,Barnea,,Barnea & Co.,,Law,Tel Aviv University,,2013-05-23 11:25:14,2013-05-24 06:00:42,247686.0,247686.0,p:192326,c:214788,,,0.0,1.0,Managing Partner,2013-05-23 11:25:14,2013-05-24 06:00:42
p:194353,Steve,Spalding,New York,Crossing Gaps LLC,MS,Electrical Engineering,University of Florida,2008-01-01,2013-05-29 19:32:54,2013-05-29 21:40:41,256408.0,256408.0,p:194353,c:218246,2008-03-13,2013-05-29,1.0,1.0,Managing Partner,2013-05-29 19:32:55,2013-05-29 21:40:41
p:195434,Nichlous,Vade,California,Tutorchrome.com,,,,,,,261719.0,261719.0,p:195434,c:220582,2008-01-01,2013-06-03,1.0,1.0,Consultant,2013-06-03 13:03:01,2013-06-03 14:15:52
p:196525,Fabian,Heilemann,Bad Pyrmont,DailyDeal GmbH,,,,,,,265922.0,265922.0,p:196525,f:9095,2009-01-01,,0.0,1.0,Partner,2013-06-06 12:55:37,2013-06-06 17:35:25
p:196665,Eric,Kagan,Massachusetts,Sierra Maya Ventures,BS,"Accounting, Finance",University of Massachusetts - School of Management,1992-01-01,2013-06-07 01:42:51,2013-06-07 17:07:06,266432.0,266432.0,p:196665,c:222489,2013-04-01,,0.0,1.0,Managing Partner,2013-06-06 22:46:02,2013-06-06 23:59:38
p:197731,Andre Linh,Raoul,France,Pole Capital,BS,"Bank, Finance and Insurance",University of Paris Dauphine,2005-01-01,2013-06-11 11:04:10,2013-06-11 18:07:29,270640.0,270640.0,p:197731,f:11779,2008-08-01,2013-06-11,1.0,1.0,Managing Partner,2013-06-11 11:04:10,2013-06-11 18:07:29
p:200513,Radu,Daniel,,Golf Media SRL,,,,,,,290842.0,290842.0,p:200513,c:232468,2007-04-01,,0.0,1.0,Managing Partner,2013-06-27 15:05:05,2013-06-27 20:05:06
p:202004,Mbwana,Alliy,"Dar es Salaam, Tanzania",Savannah Fund,BS,Engineering,Bristol University,,2013-06-24 17:44:11,2013-06-24 17:44:11,286528.0,286528.0,p:202004,f:11756,,,0.0,1.0,Managing Partner,2013-06-24 17:41:28,2013-06-24 17:41:28
p:204032,Steve,Brumer,,151 Advisors,MS,,City University of New York,,2013-07-01 20:32:25,2013-07-02 21:58:23,295446.0,295446.0,p:204032,c:233079,,,0.0,1.0,Partner,2013-07-01 20:32:25,2013-07-02 21:58:24
p:205133,Bruce,Provda,New York,Provda Law Firm,JD,Law,Hofstra University School of Law,1973-01-01,2013-07-04 17:23:12,2013-07-08 23:10:59,299085.0,299085.0,p:205133,c:234877,1974-04-03,2013-07-04,1.0,2.0,Partner,2013-07-04 17:23:12,2013-07-08 23:10:59
p:210742,Matthew,Bartus,,Cooley LLP,,,,,,,319012.0,319012.0,p:210742,c:57130,,,0.0,1.0,Partner,2013-07-21 17:10:29,2013-07-22 23:12:09
p:210774,YY,Lai,,NTU Venture,,Executive Management Programme,Tsinghua University,2012-01-01,2013-07-21 22:35:04,2013-07-21 22:35:04,319117.0,319117.0,p:210774,f:3414,,,0.0,1.0,Partner,2013-07-21 22:31:32,2013-07-21 22:31:32
p:210776,Kay-Mok,Ku,,Gobi Partners,MBA,,San Jose University,,2013-07-21 22:39:23,2013-07-21 22:39:23,319118.0,319118.0,p:210776,f:4448,2010-01-01,,0.0,1.0,Partner,2013-07-21 22:39:23,2013-07-21 22:39:34
p:210789,Jael,Rawet,,JRHX,,Chemical Engineering,Universidade Presbiteriana Mackenzie,1976-01-01,2013-07-22 00:50:30,2013-07-22 23:14:36,319129.0,319129.0,p:210789,c:239866,2007-01-01,,0.0,1.0,Managing Partner,2013-07-22 00:50:30,2013-07-22 23:14:36
p:211627,Maxwell,Gover,"East Lansing, MI",Siimphony,BA,,Michigan State University,2013-01-01,2013-07-23 22:58:31,2013-07-23 23:13:37,322007.0,322007.0,p:211627,c:240634,2012-03-05,2013-07-23,1.0,1.0,Partner,2013-07-23 22:58:32,2013-07-23 23:13:38
p:212372,Rodrigo,Sanchez Servitje,,b37 Ventures,,,,,,,324837.0,324837.0,p:212372,f:12770,,,0.0,1.0,Managing Partner,2013-07-25 15:39:05,2013-07-26 14:48:23
p:213076,Dino,Paravandis,,Cambo Industries,,,,,,,327551.0,327551.0,p:213076,c:242121,,,0.0,1.0,Partner,2013-07-27 22:53:57,2013-07-30 21:22:56
p:214730,Andrey,Kozlov,,CLS Capital,,,,,,,333874.0,333874.0,p:214730,f:9111,,,0.0,1.0,Partner,2013-08-01 15:13:43,2013-08-02 13:00:23
p:214824,Bryan,Buchert,San Francisco,Electric State of Mind,BA,Sociology,"University of California, Berkeley",2012-01-01,2013-08-01 23:40:12,2013-08-02 00:48:02,334050.0,334050.0,p:214824,c:244048,2012-01-01,,0.0,1.0,Partner,2013-08-01 23:40:13,2013-08-02 00:48:02
p:215722,Paul,Danziger,South Africa,Danziger & De Llano,,,,,,,338522.0,338522.0,p:215722,c:245044,,,0.0,1.0,Partner,2013-08-05 14:44:59,2013-08-05 22:57:33
p:216204,Will,Wynperle,,Shamrock Capital Advisors,BA,Government & Economics,Dartmouth College,,2013-08-06 22:51:48,2013-08-07 02:46:30,340326.0,340326.0,p:216204,f:7696,1998-01-01,,0.0,6.0,Partner,2013-08-06 22:51:48,2013-08-06 23:18:28
p:217025,Kjetil,Clementsen,Stavanger,Snowmakers VC,BS,Management and administration,University of Stavanger (UiS),2006-01-01,2013-08-08 20:51:10,2013-08-12 09:41:33,343141.0,343141.0,p:217025,c:246149,2012-01-01,2013-08-08,1.0,1.0,Managing Partner,2013-08-08 20:51:11,2013-08-09 22:37:08
p:217390,Janica,Lane,,Partnership Capital Growth,MBA,,Stanford Graduate School of Business,,2013-08-21 21:50:32,2013-08-21 21:50:32,344021.0,344021.0,p:217390,f:6321,,,0.0,1.0,Partner,2013-08-09 18:25:25,2013-08-09 18:25:25
p:221054,Zack,Fasel,,Urbane Security,,,,,,,352010.0,352010.0,p:221054,c:255088,2012-09-01,,0.0,1.0,Managing Partner,2013-08-15 21:29:35,2013-10-01 23:05:44
p:224496,Lany,Soesanto,,New York Life Insurance Co,BA,Accounting,City University of New York,1997-01-01,2013-08-24 04:20:55,2013-08-24 04:20:55,364236.0,364236.0,p:224496,c:247749,,,0.0,2.0,Consultant,2013-08-24 04:20:55,2013-08-24 04:20:55
p:225191,David C.,Kiernan,"Red Bank, New Jersey, USA",Williams & Connolly LLP,MS,,Duke University School of Medicine,1985-01-01,2013-08-26 07:13:30,2013-11-30 12:26:37,367807.0,367807.0,p:225191,f:11745,,,0.0,1.0,Partner,2013-08-26 07:13:30,2013-08-26 07:13:30
p:225593,Ryan,Turner,,Beceem Communications,MBA,Business,Harvard University,1998-01-01,2013-08-27 05:16:45,2013-08-27 05:16:45,369349.0,369349.0,p:225593,c:26556,,,0.0,2.0,Investor,2013-08-27 05:16:45,2013-08-27 05:16:45
p:226842,Øyvind,Gran,Oslo,Vippy,,,,,,,373285.0,373285.0,p:226842,c:259149,2011-01-01,,0.0,1.0,Partner,2013-08-29 15:37:04,2013-08-29 15:46:45
p:228325,Khuram,Hussain,,"JP Morgan Co., Inc.",MBA,,"University of California, Berkeley - Walter A. Haas School of Bu",2010-01-01,2013-09-02 08:20:43,2013-09-02 08:20:43,378389.0,378389.0,p:228325,c:205042,2010-06-01,2010-08-01,1.0,1.0,Consultant,2013-09-02 08:20:43,2013-09-02 08:20:43
p:228545,Huw,Aveston,london,Traffic Optimiser,BS,Human Sciences,University College London,2005-01-01,2013-09-02 15:52:23,2013-09-03 23:34:06,379247.0,379247.0,p:228545,c:260760,2013-01-01,,0.0,1.0,Managing Partner,2013-09-02 15:52:23,2013-09-03 23:34:06
p:228726,Richard,See,,Plumtree Software,BA,English,Trinity College,1982-01-01,2013-09-03 05:58:59,2013-09-03 05:58:59,379827.0,379827.0,p:228726,c:3766,,,0.0,1.0,Investor,2013-09-03 05:58:59,2013-09-03 05:58:59
p:229136,Nicole,Sanchez,,Kapor Center for Social Impact,MBA,,UC Berkeley Haas School of Business,,2013-09-03 20:50:38,2013-09-03 23:40:08,381093.0,381093.0,p:229136,c:261192,2010-10-01,2013-09-03,1.0,1.0,Managing Partner,2013-09-03 20:50:38,2013-09-06 13:20:26
p:231654,Sean,Wilkes,Hong Kong,Scede Staffing,,,,,,,389757.0,389757.0,p:231654,c:262898,2013-07-01,,0.0,1.0,Consultant,2013-09-09 11:11:56,2013-09-09 20:58:07
p:232164,Jessica,P. Einhorn,,Clark & Weinstock,MS,,Princeton University,,2013-09-10 10:55:25,2013-09-10 10:55:25,391510.0,391510.0,p:232164,c:263227,2000-01-01,2002-01-01,1.0,1.0,Consultant,2013-09-10 10:53:49,2013-09-10 10:53:49
p:232579,Rob,Hale,,source23,,,,,,,392736.0,392736.0,p:232579,c:263490,2001-03-04,2013-09-11,1.0,1.0,Partner,2013-09-11 07:24:20,2013-09-11 18:51:13
p:233112,Erskine,B. Bowles,,Forstmann Little & Co.,MS,,Virginia Episcopal School,,2013-09-12 07:27:59,2013-09-12 07:27:59,394358.0,394358.0,p:233112,c:263786,1999-03-01,2001-09-01,1.0,1.0,General Partner,2013-09-12 07:28:00,2013-09-12 07:28:00
